ID,Módulo,Arquivo,Problema,Status atual,Ação,Risco,Dependências,Teste,Rollback,Ordem,Prioridade
SEC-01,Segurança,backend/app/core/two_factor_policy.py:26,2FA desligado por default (TWO_FACTOR_AUTH_ENABLED=false; REQUIRE_2FA_ROLES vazio),RISCO ACEITO,NÃO EXECUTAR — decisão permanente do Titular (GOVERNANCA_IA.md:224-233): 2FA permanece opcional por default; auditoria registra o risco e não o converte em correção; só reabrir mediante novo pedido expresso do Titular (infra já implementada e testada, caso a decisão seja reaberta),—,—,—,—,1,RISCO-ACEITO
SEC-02,Segurança,backend/app/routers/ambiental_estrategia.py:239,GET /download_peca sem gate de papel nem ownership (qualquer autenticado baixa),EXECUTADO (W5 2026-09-21 — binding usuário↔arquivo em visual_law_files; PRs #1763/#1767/#1768/#1766 — produção 9c6d94a1b),Replicar gate do análogo trabalhista + binding usuario↔arquivo,Baixo,Nenhum,test de RBAC endpoint,revert PR,2,P0
SEC-03,Segurança,backend/app/routers/trabalhista_liquidacao.py:337,download_planilha: confidencialidade só por não-guessabilidade de UUID,NÃO INICIADO,Binding usuario↔arquivo + teste,Baixo,Nenhum,test de RBAC endpoint,revert PR,3,P0
SEC-04,Segurança,PRs #1721 #1722 #1723 (sucessores #1732/#1737/#1735),3 correções CRITICAL abertas (RBAC cliente_externo no-op; sanitização deep_research; str(e) gateway),EM EXECUÇÃO,Revisar + CI verde + merge squash (#1732 mesclada em cfec1433a; #1737 e #1735 rebaseadas sobre main pós-RBAC em CI),Baixo,Nenhum,CI Woodpecker,revert na main,0,P0
SEC-05,Segurança,backend/app/routers/previdenciario_beneficio.py:230-245 + backend/app/routers/tributario_fiscal.py:364-383,Download de arquivos gerados autoriza só por papel e serve qualquer UUID existente sem binding a criador/cliente/caso (mesmo design capability-UUID já classificado como S3),"EXECUTADO (W5 2026-09-21 — binding nos 4 verticais, tests/test_arquivos_gerados_binding.py 7/7; PR #1763)",Replicar binding usuario↔arquivo dos análogos + teste de RBAC por endpoint,Baixo,Nenhum,test de RBAC endpoint (URL de outro usuário → 403),revert PR,3.5,P0
OPS-01,IA/Financeiro,backend/app/core/config.py:1097 + backend/app/services/ai/ai_cache.py,AI_RESPONSE_CACHE_ENABLED=false apesar do cache implementado no gateway — toda chamada repetida paga token,EXECUTADO (W9 2026-09-21 — G1: cache de IA default LIGADO sobre a política fail-closed de tarefa cacheável (só MASCARAMENTO; EXTERNO_PSEUDONIMIZADO/EXTRACAO_LOCAL/LOCAL_COMPLETO nunca cacheáveis, desconhecida → fail-closed); PR #1766; rollback AI_RESPONSE_CACHE_ENABLED=false sem deploy),Redesenhar política de tarefa cacheável antes de ligar: _tarefa_cacheavel rejeita EXTERNO_PSEUDONIMIZADO/EXTRACAO_LOCAL/LOCAL_COMPLETO e o mapa de sanitização não contém MASCARAMENTO (fallback também EXTERNO_PSEUDONIMIZADO) — com o mapa atual NENHUMA chave gera hit mesmo com a flag ON; criar tarefa cacheável segura + invalidação por caso/documento, só então ligar em produção,Médio,política de cache redesenhada + gateway ai_cache ativo,eval suite app/eval + custo BRL antes/depois + teste de HIT com a nova tarefa cacheável,env flag,4,P1
OPS-02,Integrações,backend/app/services/scheduler.py:1421+1439,DJEN consultado 2x/dia na mesma API (ing_djen 05:00 + djen 06:30),NÃO INICIADO,Unificar captura+ingestão num job único (ou pular itens já vistos),Médio,DJEN_INGEST_ENABLED e dedup RAG já idempotentes,test_djen_* + telemetria de chamadas CNJ,gate env / revert PR,5,P1
OPS-03,Frontend,frontend/src/components/LayoutReference.tsx:121,Polling de notificações 60s em toda tela logada,EXECUTADO (W9 2026-09-21 — G3: polling pausa com aba oculta + reativa em visibilitychange, LayoutReference.tsx; PR #1766; SSE segue como evolução futura),Revalidação on-focus + ao receber evento (ou SSE futuro),Médio,backend sem SSE (mudança de escopo se SSE),test:responsive + smoke,Rollback para polling,6,P1
OPS-04,Integrações,backend/app/services/scheduler.py:1422+1512,DataJud sincroniza mesmos casos em 3 rotinas; cache em memória por processo,NÃO INICIADO,Consolidar rotinas + mover cache/teto para Redis,Baixo,DATAJUD_ENABLED=false hoje (no-op),test_datajud_* + dry-run 48h,env flags,7,P1
OPS-05,Jobs,backend/app/services/scheduler.py:201-300,N+1 de escrita: UPDATE por linha de prazo + commit por destinatário,EXECUTADO (W9 2026-09-21 — G4: _alertar_prazos com COMMIT em lote de 20, janela de re-notificação ≤20 e idempotência pela flag do item; PR #1766),Batch update + commit consolidado,Baixo,Nenhum,testes de scheduler congelando tempo,revert PR,8,P2
OPS-06,Jobs,backend/app/services/scheduler.py:1121+74+811,Função _verificar_sincronia_datajud nunca registrada; corpos mortos de _morning_brief/_alertar_honorarios,PARCIAL (W10 2026-09-21 — função nunca registrada removida do scheduler; corpos :74/:811 permanecem, exigem inversão de import documentada no PR #1767),Remover código morto + consolidar em scheduler_financeiro,Baixo,confirmação 0 add_job (feita),vitest/pytests verdes,revert PR,9,P2
W8.2,Infra/IA,host nginx ejc.conf proxy_read_timeout,/ai/analisar-caso excede proxy timeout: chamada completa server-side em 1,5-4 min (trilha AILog) mas nginx corta em 120s e o cliente recebe 504 — afeta motor LEGADO (opus-5) E canônico (maritaca-thinking), comprovado 2026-09-22; último sucesso client-side conhecido 18/09,NÃO INICIADO,Elevar proxy_read_timeout do host para /api/ai/ ou portas assíncronas (job+polling/SSE) com UI de progresso; revisar roteamento de modelo para portas interativas,Médio,decisão do Titular sobre UX (esperar vs assíncrono),curl cronometrado <120s + modal do TabResumo recebe resposta,nginx reload ou revert PR,40,P1
FE-01,Frontend,frontend/src/pages/ConteudoJuridico.tsx,Página sem rota e sem importadores (redirect desde moduleRegistry:1102),RECONCILIADO (já ausente na branch; contrato anti-retorno adicionado),EXCLUIR APÓS MIGRAÇÃO (W10) + remover teste órfão,Baixo,0 imports e arquivo ausente comprovados,build+grep CI anti-retorno,revert PR,10,P3
FE-02,Frontend,frontend/src/components/DashboardAiChat.tsx,Componente morto (0 imports 0 testes),RECONCILIADO (já ausente na branch; contrato anti-retorno adicionado),EXCLUIR (W10),Baixo,0 imports e arquivo ausente comprovados,build,revert PR,11,P3
FE-03,Frontend,frontend/src/components/CaseClosureModal.tsx+DeadlineRiskStrip+JurisprudentialAlertsStrip,3 componentes órfãos + 3 testes órfãos,RECONCILIADO (já ausentes na branch; contrato anti-retorno adicionado),EXCLUIR (W10) ou absorver em Caso se função faltar,Baixo,0 imports e arquivos ausentes comprovados,build,revert PR,12,P3
FE-04,Frontend,frontend/src/pages/Dashboard.tsx,Wrapper 1 linha sobre DashboardUltra,EXECUTADO (Onda 2 2026-09-21 — wrapper pages/Dashboard.tsx removido; moduleRegistry aponta direto a DashboardUltra; teste de casca órfão removido; página com h1 único; PR #1754 em produção),Apontar registry direto a DashboardUltra,Baixo,módulo no registry,test:navegacao,revert PR,13,P2
FE-05,Frontend,frontend/src/App.tsx:32,LoginModern eager (única página não-lazy) e nome antigo,EXECUTADO (Wave 3 — Login.tsx via lazy()),lazy() + renomear Login.tsx,Baixo,Suspense global já existe,vitest login,revert PR,14,P2
FE-06,Frontend,frontend/src/App.tsx:12-16,EntradaUniversalGlobal/FlowEnhancements/PortalLayout eager no bundle inicial,EXECUTADO (Wave 3 — três superfícies via lazy() sob Suspense global),lazy-when-open (modais) e lazy no PortalLayout,Baixo,validar estados de carregamento,test:responsive,revert PR,15,P2
FE-07,Frontend,frontend/src/lib/stream.ts,"Segundo runtime HTTP com refresh 401 reimplementado — existe porque axios não expõe body em streaming; consumidores reais: AgenteIA, PecaGeneratorModal, AnaliseExtratos, BancarioForense (NÃO Sala Jurídica)",NÃO INICIADO,Preservar o caminho raw-fetch de streaming incremental; qualquer consolidação em lib/api.ts só com camada que mantenha SSE e cobertura dos 4 consumidores reais,Médio,Nenhum (corrigido: dependência Sala Jurídica era falsa),stream.test.ts + testes de AgenteIA/PecaGeneratorModal/AnaliseExtratos/BancarioForense,revert PR,16,P2
