id,kind,name,path,line,method,route,parent,mounted,active,classification,classification_source,confidence,needs_review,rationale,dependencies,consumers,tables,metadata
229a25bf02fe66dd4b19,class,AIGateway,backend/app/core/ai_brain.py,42,,,ai_brain,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,sanitizer | services | typing,{}
775dd64931cbe9d8dce4,class,APIVersionCompatibilityMiddleware,backend/app/core/api_version_middleware.py,9,,,api_version_middleware,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,__future__ | types,{}
4b8b9f9448956f43e725,class,AuthMiddleware,backend/app/core/auth_middleware.py,81,,,auth_middleware,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",BaseHTTPMiddleware,,__future__ | base | config | exceptions | fastapi | responses | two_factor_policy,{}
7a4c8164fc51ddb9ee4b,class,Settings,backend/app/core/config.py,13,,,config,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",BaseSettings,,__future__ | e | fernet | functools | pydantic | pydantic_settings | typing,{}
1d4723a9944d29ece6e4,class,Base,backend/app/core/database.py,56,,,database,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",DeclarativeBase,,__future__ | asyncio | config | orm | pg_extension | pool | sqlalchemy | typing,{}
801da34563a56048cfd2,class,DocumentTemplateEngine,backend/app/core/document_template_engine.py,22,,,document_template_engine,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,sandbox | typing | victory_vault,{}
060f7d32c6d78730ec5d,class,CaseLifecycleStatus,backend/app/core/domain_contracts.py,7,,,domain_contracts,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",StrEnum,,__future__ | enum | none,{}
6250f34d52ea63f25ec8,class,TaskLifecycleStatus,backend/app/core/domain_contracts.py,21,,,domain_contracts,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",StrEnum,,__future__ | enum | none,{}
3e4c9bd31810581c34e8,class,DocumentLifecycleStatus,backend/app/core/domain_contracts.py,30,,,domain_contracts,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",StrEnum,,__future__ | enum | none,{}
5e86442fc0767a521ec5,class,FinancialLifecycleStatus,backend/app/core/domain_contracts.py,41,,,domain_contracts,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",StrEnum,,__future__ | enum | none,{}
6b2ab50f905d73ee94b8,class,EJCFastAPI,backend/app/core/fastapi_compat.py,90,,,fastapi_compat,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",FastAPI,,__future__ | fastapi | routing | typing | utils,{}
0d5c1d81153607808c60,class,JsonFormatter,backend/app/core/logging_config.py,22,,,logging_config,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",logging.Formatter,,__future__,{}
62ca93c2a09a4e078435,class,NotificationManager,backend/app/core/notifications.py,8,,,notifications,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,fastapi | typing,{}
bb35b489df0af5b2ee63,class,ClientIPMiddleware,backend/app/core/request_context.py,68,,,request_context,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,__future__ | contextvars | types | typing,{}
f79f58a493b2599c89cb,class,SkillRouter,backend/app/core/skill_router.py,9,,,skill_router,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,,{}
d028db5bacab2edac7bc,class,VereditoIA,backend/app/core/veredito_ia.py,118,,,veredito_ia,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,__future__ | ai_gateway | ai_guard | ai_log | ai_service | citation_check | entidades_caso | jurimetria | sanitizer | typing | veredito_ia_schema | victory_vault,{}
beff59d3b33c96024338,class,VictoryVault,backend/app/core/victory_vault.py,34,,,victory_vault,,True,manter,conservative-default,baixa,True,"Mantido por segurança até revisão de uso, contrato, dados e consumidores.",,,config | database | modelos_documentos | sqlalchemy | teses_vitoriosas | typing | victory_vault_schema,{}
