record_id,identifier,canonical_process,city,stratum,quota,subject,subtype,class,unit,court_level,judgment_or_event_date,publication_date,outcome_confirmed,official_url_checked,official_source_type,full_document_accessed,validation_status,status_final,process_final_status,validation_tier,source_directly_checked,duplicate_group,notes
PILOTO-0038,0020625-44.2017.8.13.0027,00206254420178130027,Betim,Fraude bancária e PIX,13,Indenização por Dano Moral,Bancários,Procedimento do Juizado Especial Cível,2º JD CÍVEL,Juizado,2017-01-01,2019-10-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=00206254420178130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0039,0056444-47.2014.8.13.0027,00564444720148130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2014-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=00564444720148130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0075,0095515-60.2015.8.13.0079,00955156020158130079,Contagem,Execução fiscal,13,Execução Fiscal,Tributário,Embargos de Declaração-Cv,TJMG,2ª Instância,20/08/2026,21/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&&numeroRegistro=44&totalLinhas=2973&paginaNumero=44&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 %2522Comarca de Contagem%2522&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Áurea Brasil. Ementa: Rejeição de aclaratórios.
PILOTO-0025,0095616-93.2014.8.13.0027,00956169320148130027,Betim,Execução fiscal,13,Execução Fiscal,Tributário,Apelação Cível,Vara de Execuções Fiscais,2_INSTANCIA,14/05/2026,15/05/2026,,https://www5.tjmg.jus.br/jurisprudencia/pesquisaPalavrasEspelhoAcordao.do?&numeroRegistro=10&totalLinhas=102&paginaNumero=10&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 Betim&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Jair Varão. Ementa: EMENTA: DIREITO TRIBUTÁRIO. DIREITO PROCESSUAL CIVIL. APELAÇÃO CÍVEL. JUÍZO DE RETRATAÇÃO. EMBARGOS ...
PILOTO-0026,0098716-22.2015.8.13.0027,00987162220158130027,Betim,Execução fiscal,13,Execução Fiscal,Tributário,Apelação Cível,Vara de Execuções Fiscais,2_INSTANCIA,14/07/2026,21/07/2026,,https://www5.tjmg.jus.br/jurisprudencia/pesquisaPalavrasEspelhoAcordao.do?&numeroRegistro=2&totalLinhas=102&paginaNumero=2&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 Betim&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Leopoldo Mameluque. Ementa: EMENTA: APELAÇÃO CÍVEL. EMBARGOS À EXECUÇÃO FISCAL . COBRANÇA DE IPTU E TAXAS. LOCALIZAÇÃO DO BEM EM...
PILOTO-0040,0136329-13.2014.8.13.0027,01363291320148130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2014-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=01363291320148130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0041,0175980-86.2013.8.13.0027,01759808620138130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2013-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=01759808620138130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0076,0215010-94.1998.8.13.0079,02150109419988130079,Contagem,Execução fiscal,13,Execução Fiscal,Tributário,Agravo Interno Cv,TJMG,2ª Instância,20/08/2026,21/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&&numeroRegistro=31&totalLinhas=2973&paginaNumero=31&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 %2522Comarca de Contagem%2522&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Áurea Brasil. Ementa: Manutenção da decisão agravada.
PILOTO-0077,0241306-65.2012.8.13.0079,02413066520128130079,Contagem,Execução fiscal,13,Execução Fiscal,Tributário,Embargos de Declaração-Cv,TJMG,2ª Instância,20/08/2026,21/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&&numeroRegistro=33&totalLinhas=2973&paginaNumero=33&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 %2522Comarca de Contagem%2522&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Relator: Des.(a) Áurea Brasil. Ementa: Rejeição dos embargos.
PILOTO-0042,0242087-15.2013.8.13.0027,02420871520138130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,1ª VARA CÍVEL,1ª Instância,2013-01-01,2019-10-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=02420871520138130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
